Publication Years;Count
2026;1548
2025;9033
2024;7742
2023;6862
2022;6986
2021;6786
2020;5865
2019;5012
2018;3892
2017;3533
2016;3172
2015;2978
2014;2600
2013;2380
2012;2275
2011;2246
2010;1957
2009;1757
2008;1538
2007;1345
2006;1232
2005;1097
2004;994
2003;1037
2002;854
2001;729
2000;819
1999;737
1998;709
1997;677
1996;548
1995;466
1994;436
1993;372
1992;377
1991;319
1990;230
1989;194
1988;165
1987;161
1986;146
1985;136
1984;152
1983;132
1982;134
1981;104
1980;98
1979;117
1978;100
1977;98
1976;68
1975;22
1974;10
1973;8
1972;10
1971;12
1970;13
1969;6
1968;21
1967;43
1966;30
1965;21
1964;16
1963;19
1962;17
1961;22
1960;16
1959;10
1958;8
1957;14
1956;9
1955;5
1954;10
1953;10
1952;7
1951;12
1950;9
1949;10
1948;10
1947;14
1946;5
1945;10
1944;7
1943;6
1942;10
1941;5
1940;3
1939;6
1938;5
1937;3
1936;4
1935;4
1934;7
1933;5
1932;2
1931;1
1930;1
1929;4
1928;5
1927;6
1926;5
1921;1
1917;1
1902;1
